Fitness: 190619, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 3, Me: 1, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 180692, Laufzeit: 0:02:38 Pop: 30, Wi: 100, Mu: 5, Me: 1, Gen: 4 RoundsFind: 227, RoundsPolygon: 125 Dissmissed: 10
Fitness: 189753, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 3, Me: 3, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 10
Fitness: 193349, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 3, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 188399, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 5, Me: 1, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 10
Fitness: 192644, Laufzeit: 0:00:04 Pop: 60, Wi: 0, Mu: 5, Me: 3, Gen: 4 RoundsFind: 1, RoundsPolygon: 2 Dissmissed: 10
Fitness: 188455, Laufzeit: 0:00:05 Pop: 60, Wi: 0, Mu: 5, Me: 5, Gen: 4 RoundsFind: 2, RoundsPolygon: 2 Dissmissed: 10
Fitness: 190439, Laufzeit: 0:00:06 Pop: 60, Wi: 1, Mu: 1, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 10
Fitness: 193534, Laufzeit: 0:00:06 Pop: 60, Wi: 1, Mu: 1, Me: 3, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 10
Fitness: 194987, Laufzeit: 0:00:09 Pop: 60, Wi: 1, Mu: 1, Me: 5, Gen: 4 RoundsFind: 4, RoundsPolygon: 4 Dissmissed: 10
Fitness: 188916, Laufzeit: 0:00:08 Pop: 60, Wi: 1, Mu: 3, Me: 1, Gen: 4 RoundsFind: 4, RoundsPolygon: 3 Dissmissed: 10
Fitness: 188069, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 3, Me: 3, Gen: 4 RoundsFind: 4, RoundsPolygon: 3 Dissmissed: 10
Fitness: 188130, Laufzeit: 0:01:29 Pop: 30, Wi: 100, Mu: 5, Me: 5, Gen: 4 RoundsFind: 161, RoundsPolygon: 119 Dissmissed: 10
Fitness: 192601, Laufzeit: 0:00:06 Pop: 60, Wi: 1, Mu: 3, Me: 5, Gen: 4 RoundsFind: 4, RoundsPolygon: 3 Dissmissed: 10
Fitness: 187515, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 5, Me: 1, Gen: 4 RoundsFind: 3, RoundsPolygon: 4 Dissmissed: 10
Fitness: 187624, Laufzeit: 0:00:06 Pop: 60, Wi: 1, Mu: 5, Me: 3, Gen: 4 RoundsFind: 3, RoundsPolygon: 3 Dissmissed: 10
Fitness: 188990, Laufzeit: 0:00:07 Pop: 60, Wi: 1, Mu: 5, Me: 5, Gen: 4 RoundsFind: 5, RoundsPolygon: 3 Dissmissed: 10
